Loan_ID,Issue_Date,Borrower_City,Employment_Type,Annual_Income_INR,Loan_Purpose,Loan_Amount_INR,Funded_Amount_INR,Interest_Rate,Loan_Term_Months,Risk_Grade,Loan_Status,Total_Repayment_INR,Investor_Count,Income_Verification,Loan_Channel,Year
P2P100641,2021-03-03,Kolkata,Freelancer,98700.0,Debt Consolidation,200200.0,183800.0,11.15,48,A,Completed,259600.0,6,Verified,Mobile App,2021
P2P101937,2022-12-19,Hyderabad,Self-employed,113800.0,Home Improvement,82700.0,77100.0,7.5,36,A,Active,41800.0,3,Not Verified,Web,2022
P2P101809,2022-05-09,Mumbai,Self-employed,35700.0,Debt Consolidation,139900.0,132200.0,16.27,48,D,Active,130900.0,3,Verified,Mobile App,2022
P2P100788,2023-08-27,Kolkata,Business Owner,81200.0,Debt Consolidation,151100.0,149600.0,9.87,36,A,Completed,172800.0,4,Not Verified,Web,2023
P2P100310,2022-12-22,Kolkata,Business Owner,84800.0,Home Improvement,321100.0,295900.0,10.49,24,B,Active,237200.0,6,Verified,Mobile App,2022
P2P101179,2025-03-09,Mumbai,Salaried,49700.0,Vehicle,321500.0,303900.0,14.76,36,D,Late,115400.0,9,Not Verified,Web,2025
P2P100147,2024-08-05,Hyderabad,Salaried,20000.0,Education,131900.0,121700.0,7.62,60,A,Completed,166700.0,3,Verified,Mobile App,2024
P2P101872,2022-08-09,Bengaluru,Salaried,38600.0,Debt Consolidation,277400.0,255300.0,9.2,36,A,Completed,326100.0,7,Verified,Mobile App,2022
P2P100384,2025-08-01,Mumbai,Salaried,58700.0,Home Improvement,272100.0,269000.0,12.42,36,C,Completed,328600.0,6,Not Verified,Web,2025
P2P100569,2025-09-03,Delhi,Salaried,66100.0,Vehicle,437600.0,411200.0,13.59,36,C,Completed,547400.0,8,Verified,Web,2025
P2P101520,2025-10-02,Bengaluru,Self-employed,80700.0,Debt Consolidation,284400.0,262100.0,13.76,12,C,Defaulted,95800.0,7,Verified,Mobile App,2025
P2P100212,2024-12-09,Bengaluru,Self-employed,47900.0,Vehicle,300500.0,297100.0,15.38,24,C,Completed,345000.0,7,Verified,Web,2024
P2P101711,2022-03-18,Bengaluru,Salaried,52300.0,Debt Consolidation,93500.0,87200.0,9.09,36,A,Completed,110700.0,2,Verified,Mobile App,2022
P2P101915,2023-11-26,Bengaluru,Salaried,107300.0,Travel,394000.0,393000.0,7.56,48,A,Completed,451800.0,9,Verified,Web,2023
P2P101623,2024-05-25,Bengaluru,Business Owner,47700.0,Debt Consolidation,226800.0,215500.0,11.06,12,B,Completed,236300.0,8,Verified,Web,2024
P2P100524,2025-06-18,Mumbai,Self-employed,42000.0,Home Improvement,90500.0,90300.0,10.29,24,B,Completed,98500.0,3,Verified,Web,2025
P2P100175,2024-09-28,Hyderabad,Business Owner,87700.0,Debt Consolidation,242900.0,242800.0,18.73,24,D,Active,138900.0,5,Verified,Mobile App,2024
P2P101396,2025-06-02,Bengaluru,Salaried,29200.0,Travel,328100.0,297200.0,14.27,24,C,Completed,383500.0,9,Verified,Web,2025
P2P101088,2022-04-23,Pune,Salaried,80000.0,Debt Consolidation,372100.0,363900.0,12.6,24,B,Late,140900.0,8,Verified,Web,2022
P2P100392,2023-09-18,Delhi,Salaried,67800.0,Debt Consolidation,203600.0,195500.0,13.92,36,C,Active,113800.0,5,Verified,Mobile App,2023
P2P100027,2022-07-08,Ahmedabad,Salaried,102900.0,Small Business,228200.0,205700.0,7.64,48,A,Completed,265100.0,6,Verified,Web,2022
P2P101870,2025-01-25,Bengaluru,Self-employed,97100.0,Debt Consolidation,397500.0,367700.0,11.7,36,C,Completed,470200.0,12,Verified,Web,2025
P2P100337,2025-07-05,Mumbai,Self-employed,46000.0,Education,306300.0,290500.0,13.62,36,C,Completed,389000.0,11,Not Verified,Mobile App,2025
P2P100133,2022-01-02,Hyderabad,Self-employed,58400.0,Education,182400.0,171500.0,18.29,24,E,Late,67500.0,5,Not Verified,Mobile App,2022
P2P100003,2025-02-01,Ahmedabad,Business Owner,22900.0,Wedding,377700.0,364700.0,14.17,24,C,Active,294300.0,10,Verified,Mobile App,2025
P2P100881,2022-09-20,Kolkata,Salaried,76400.0,Home Improvement,191200.0,188600.0,11.66,24,B,Active,96500.0,4,Verified,Web,2022
P2P100138,2024-12-26,Jaipur,Salaried,69700.0,Small Business,306600.0,277300.0,11.12,36,A,Completed,359000.0,8,Verified,Mobile App,2024
P2P101673,2025-07-20,Jaipur,Self-employed,57000.0,Small Business,589100.0,574100.0,19.71,36,E,Active,246900.0,13,Verified,Mobile App,2025
P2P101841,2023-07-04,Pune,Salaried,28700.0,Education,147500.0,143900.0,14.0,36,C,Active,121400.0,4,Verified,Web,2023
P2P101577,2021-03-14,Pune,Self-employed,42300.0,Debt Consolidation,107000.0,98100.0,11.07,36,A,Completed,124000.0,2,Verified,Mobile App,2021
P2P101159,2025-07-25,Delhi,Salaried,41900.0,Vehicle,281900.0,275500.0,11.44,36,C,Completed,341100.0,7,Verified,Web,2025
P2P101014,2021-05-01,Mumbai,Self-employed,109900.0,Home Improvement,81000.0,80800.0,13.23,48,C,Completed,105700.0,2,Not Verified,Mobile App,2021
P2P100781,2024-12-12,Delhi,Salaried,38700.0,Debt Consolidation,200600.0,190400.0,16.17,60,C,Completed,289300.0,7,Verified,Mobile App,2024
P2P101017,2022-05-24,Mumbai,Salaried,64500.0,Small Business,162700.0,156000.0,11.67,24,B,Completed,189000.0,4,Verified,Mobile App,2022
P2P100811,2025-12-13,Kolkata,Salaried,99400.0,Debt Consolidation,438800.0,418500.0,10.51,60,A,Completed,571000.0,13,Verified,Web,2025
P2P101124,2025-05-09,Ahmedabad,Salaried,70100.0,Education,223300.0,202800.0,11.71,36,C,Completed,262200.0,8,Verified,Mobile App,2025
P2P100318,2022-05-07,Pune,Salaried,49700.0,Home Improvement,616200.0,603700.0,11.2,24,B,Completed,679700.0,14,Not Verified,Web,2022
P2P100361,2023-08-03,Unknown,Salaried,81100.0,Debt Consolidation,369200.0,354800.0,16.04,24,D,Completed,445300.0,10,Verified,Web,2023
P2P100496,2023-05-29,Bengaluru,Self-employed,111600.0,Education,394300.0,390800.0,12.92,36,C,Late,150400.0,9,Not Verified,Mobile App,2023
P2P100987,2024-12-04,Delhi,Self-employed,81100.0,Debt Consolidation,222900.0,211200.0,13.24,12,B,Completed,243000.0,8,Verified,Mobile App,2024
P2P100087,2025-01-29,Kolkata,Salaried,80400.0,Debt Consolidation,150000.0,146600.0,19.05,36,D,Defaulted,41900.0,3,Verified,Mobile App,2025
P2P100850,2024-07-14,Bengaluru,Salaried,76800.0,Home Improvement,255800.0,241800.0,12.02,48,B,Active,198500.0,9,Not Verified,Mobile App,2024
P2P100577,2022-03-07,Jaipur,Salaried,48000.0,Travel,317900.0,291000.0,19.43,12,E,Active,238600.0,6,Not Verified,Mobile App,2022
P2P100330,2022-10-29,Bengaluru,Business Owner,67600.0,Debt Consolidation,182400.0,178900.0,13.24,24,C,Active,109400.0,7,Verified,Web,2022
P2P100464,2024-06-26,Mumbai,Salaried,66300.0,Education,163700.0,150800.0,18.59,60,D,Completed,260800.0,3,Verified,Mobile App,2024
P2P101494,2021-08-13,Pune,Salaried,94100.0,Wedding,494200.0,449000.0,13.91,24,C,Late,287000.0,10,Verified,Mobile App,2021
P2P101660,2023-11-23,Chennai,Self-employed,114900.0,Wedding,132100.0,120200.0,11.73,12,A,Defaulted,48200.0,2,Not Verified,Web,2023
P2P100017,2023-02-25,Bengaluru,Business Owner,84600.0,Home Improvement,128700.0,119900.0,12.34,48,B,Completed,161100.0,3,Verified,Mobile App,2023
P2P101408,2025-05-04,Lucknow,Salaried,37100.0,Travel,109400.0,101100.0,10.82,60,B,Active,47100.0,2,Not Verified,Mobile App,2025
P2P101055,2025-12-29,Hyderabad,Salaried,63100.0,Small Business,337900.0,337000.0,12.91,36,B,Late,192600.0,8,Not Verified,Web,2025
P2P101684,2025-05-25,Hyderabad,Salaried,37700.0,Debt Consolidation,170400.0,154600.0,12.13,48,C,Defaulted,31400.0,3,Verified,Mobile App,2025
P2P100343,2022-05-07,Chennai,Business Owner,35400.0,Debt Consolidation,259200.0,253200.0,17.98,24,D,Completed,312700.0,10,Verified,Web,2022
P2P101317,2024-03-31,Bengaluru,Salaried,30500.0,Education,428900.0,419800.0,8.91,48,B,Active,330000.0,11,Verified,Web,2024
P2P101111,2025-05-16,Chennai,Freelancer,49700.0,Medical,316300.0,307900.0,11.98,24,C,Active,113100.0,7,Not Verified,Mobile App,2025
P2P101066,2025-02-08,Pune,Salaried,44500.0,Debt Consolidation,524100.0,488000.0,13.66,24,C,Active,400900.0,14,Not Verified,Web,2025
P2P101988,2024-02-14,Hyderabad,Freelancer,23300.0,Education,135000.0,128500.0,11.64,24,B,Active,85900.0,3,Verified,Mobile App,2024
P2P100112,2022-04-09,Delhi,Salaried,63800.0,Debt Consolidation,260600.0,244000.0,8.66,24,A,Completed,288100.0,8,Verified,Mobile App,2022
P2P100254,2023-03-21,Bengaluru,Salaried,29300.0,Vehicle,247500.0,243900.0,14.52,24,C,Defaulted,37100.0,8,Verified,Web,2023
P2P101564,2022-12-31,Chennai,Salaried,34800.0,Home Improvement,215800.0,212600.0,10.92,48,B,Completed,273800.0,4,Verified,Web,2022
P2P100520,2022-03-15,Bengaluru,Salaried,125500.0,Small Business,526600.0,522900.0,9.29,24,A,Completed,604600.0,17,Verified,Web,2022
P2P100859,2024-05-28,Jaipur,Business Owner,62200.0,Debt Consolidation,154700.0,143600.0,11.1,24,B,Completed,180400.0,3,Verified,Mobile App,2024
P2P100940,2024-06-15,Delhi,Business Owner,45000.0,Debt Consolidation,210800.0,202100.0,17.31,48,D,Active,101400.0,4,Verified,Mobile App,2024
P2P100971,2024-10-27,Mumbai,Salaried,82600.0,Home Improvement,114800.0,113500.0,9.41,24,B,Completed,124300.0,3,Verified,Mobile App,2024
P2P100420,2025-02-26,Hyderabad,Salaried,89700.0,Home Improvement,249200.0,241900.0,15.82,24,C,Defaulted,26400.0,5,Verified,Mobile App,2025
P2P101736,2025-08-12,Pune,Self-employed,29200.0,Education,179500.0,173400.0,14.65,12,D,Completed,197300.0,6,Verified,Web,2025
P2P100218,2025-02-19,Delhi,Salaried,64100.0,Debt Consolidation,458200.0,422500.0,11.37,24,C,Active,167100.0,14,Verified,Web,2025
P2P100469,2022-09-02,Jaipur,Freelancer,54200.0,Education,172400.0,163100.0,11.61,36,B,Active,133600.0,4,Verified,Mobile App,2022
P2P100432,2025-03-10,Lucknow,Salaried,40500.0,Vehicle,64800.0,63500.0,9.52,24,A,Completed,71400.0,2,Verified,Mobile App,2025
P2P101284,2021-01-30,Pune,Business Owner,38000.0,Wedding,79100.0,76300.0,12.0,48,B,Active,72200.0,2,Verified,Web,2021
P2P101086,2023-12-31,Bengaluru,Salaried,63400.0,Small Business,684600.0,635300.0,11.52,12,B,Active,378600.0,15,Verified,Mobile App,2023
P2P101833,2024-06-24,Mumbai,Business Owner,27600.0,Vehicle,111000.0,108800.0,11.71,36,B,Active,95400.0,2,Verified,Mobile App,2024
P2P101363,2024-08-25,Pune,Salaried,82200.0,Small Business,149700.0,139100.0,16.12,36,D,Active,136000.0,4,Verified,Mobile App,2024
P2P100153,2022-03-02,Bengaluru,Self-employed,27900.0,Small Business,107500.0,99900.0,13.14,36,B,Completed,129600.0,3,Verified,Mobile App,2022
P2P100638,2022-10-16,Pune,Self-employed,30600.0,Small Business,199100.0,181500.0,10.76,24,B,Completed,227500.0,7,Verified,Web,2022
P2P101421,2023-03-19,Mumbai,Salaried,59200.0,Small Business,235200.0,218500.0,10.73,24,A,Completed,258100.0,5,Verified,Web,2023
P2P100419,2024-11-09,Kolkata,Salaried,71000.0,Debt Consolidation,179900.0,179600.0,10.31,60,A,Active,105700.0,5,Verified,Mobile App,2024
P2P101501,2024-03-19,Pune,Salaried,38400.0,Debt Consolidation,984700.0,932000.0,14.1,24,C,Active,808400.0,28,Verified,Mobile App,2024
P2P101478,2025-03-11,Bengaluru,Self-employed,36000.0,Education,279500.0,255500.0,10.49,24,A,Completed,322800.0,7,Not Verified,Mobile App,2025
P2P100832,2023-12-03,Bengaluru,Self-employed,57500.0,Small Business,262900.0,239000.0,10.21,48,B,Completed,326400.0,5,Verified,Mobile App,2023
P2P101766,2023-04-05,Pune,Self-employed,83400.0,Debt Consolidation,291700.0,262600.0,19.93,48,E,Active,135200.0,7,Verified,Web,2023
P2P101600,2025-08-22,Mumbai,Self-employed,33100.0,Small Business,279800.0,256200.0,11.49,36,B,Active,174300.0,5,Verified,Web,2025
P2P101195,2021-05-21,Ahmedabad,Salaried,43600.0,Home Improvement,493500.0,475600.0,11.95,60,A,Completed,673900.0,13,Verified,Web,2021
P2P101814,2021-03-06,Hyderabad,Salaried,51200.0,Medical,238400.0,220100.0,18.66,48,E,Completed,344500.0,6,Verified,Mobile App,2021
P2P101570,2023-12-02,Bengaluru,Freelancer,129500.0,Vehicle,99000.0,92200.0,12.64,48,B,Active,90400.0,2,Not Verified,Mobile App,2023
P2P100390,2025-05-05,Pune,Salaried,40100.0,Small Business,250800.0,236300.0,22.46,60,E,Active,291800.0,7,Verified,Web,2025
P2P101362,2022-08-03,Hyderabad,Salaried,74100.0,Debt Consolidation,255000.0,238400.0,10.75,36,B,Completed,294000.0,7,Verified,Web,2022
P2P101295,2025-04-27,Mumbai,Business Owner,27100.0,Travel,116900.0,112400.0,12.15,36,B,Completed,140600.0,4,Not Verified,Mobile App,2025
P2P101400,2025-01-01,Mumbai,Business Owner,33300.0,Medical,294100.0,284400.0,10.35,24,B,Late,112200.0,9,Not Verified,Mobile App,2025
P2P101786,2025-08-23,Hyderabad,Business Owner,48800.0,Debt Consolidation,89600.0,87500.0,9.13,36,A,Completed,106000.0,2,Verified,Web,2025
P2P100690,2022-06-08,Bengaluru,Freelancer,84800.0,Home Improvement,392800.0,369900.0,14.68,24,C,Completed,477900.0,9,Verified,Mobile App,2022
P2P100685,2025-10-05,Chennai,Business Owner,29300.0,Home Improvement,141600.0,131700.0,12.33,60,B,Active,108400.0,4,Verified,Web,2025
P2P100116,2025-07-25,Chennai,Salaried,106900.0,Debt Consolidation,233700.0,217500.0,14.2,12,C,Active,93000.0,4,Verified,Mobile App,2025
P2P100561,2024-12-28,Mumbai,Self-employed,131300.0,Vehicle,166800.0,166100.0,13.9,36,C,Active,101500.0,6,Verified,Mobile App,2024
P2P101856,2022-11-08,Delhi,Business Owner,34500.0,Debt Consolidation,146800.0,138100.0,12.81,24,B,Active,109800.0,3,Not Verified,Mobile App,2022
P2P101638,2022-03-19,Pune,Business Owner,48400.0,Debt Consolidation,63500.0,57700.0,11.67,48,B,Completed,80000.0,2,Not Verified,Mobile App,2022
P2P101936,2025-05-03,Bengaluru,Self-employed,35300.0,Education,195100.0,183900.0,17.8,24,D,Completed,240700.0,4,Verified,Mobile App,2025
P2P101752,2022-08-13,Chennai,Business Owner,44100.0,Wedding,107900.0,105500.0,13.9,36,C,Completed,137500.0,2,Verified,Mobile App,2022
P2P100654,2025-02-18,Mumbai,Business Owner,25000.0,Debt Consolidation,435600.0,395700.0,11.78,12,B,Active,273400.0,10,Not Verified,Mobile App,2025
P2P101827,2021-05-09,Lucknow,Self-employed,50700.0,Education,245100.0,232600.0,9.62,12,A,Active,189000.0,6,Verified,Web,2021
P2P100320,2022-11-03,Bengaluru,Salaried,60000.0,Home Improvement,345100.0,319300.0,8.13,24,A,Active,229200.0,7,Verified,Web,2022
P2P100655,2023-10-24,Mumbai,Salaried,57400.0,Small Business,103300.0,99000.0,14.41,60,D,Active,83100.0,3,Verified,Mobile App,2023
P2P100979,2024-02-14,Kolkata,Salaried,38800.0,Small Business,462600.0,427200.0,10.99,48,B,Completed,574400.0,16,Verified,Mobile App,2024
P2P101044,2024-08-30,Bengaluru,Self-employed,34800.0,Home Improvement,198000.0,186100.0,11.66,36,C,Active,172600.0,5,Not Verified,Mobile App,2024
P2P101567,2024-11-02,Jaipur,Self-employed,32700.0,Medical,281600.0,263000.0,10.61,36,A,Completed,338300.0,5,Verified,Mobile App,2024
P2P100825,2024-04-16,Mumbai,Salaried,55600.0,Home Improvement,318900.0,318700.0,13.78,36,C,Completed,398500.0,8,Verified,Mobile App,2024
P2P100820,2023-04-25,Chennai,Salaried,37700.0,Home Improvement,87300.0,79300.0,20.04,24,E,Completed,105000.0,2,Verified,Web,2023
P2P100007,2021-06-27,Hyderabad,Salaried,53300.0,Home Improvement,145000.0,144700.0,10.15,60,B,Completed,188700.0,5,Not Verified,Mobile App,2021
P2P100208,2024-10-26,Delhi,Salaried,104400.0,Vehicle,323600.0,304600.0,11.22,36,B,Active,128200.0,7,Verified,Mobile App,2024
P2P101723,2023-02-23,Bengaluru,Business Owner,18000.0,Wedding,361800.0,331400.0,14.86,60,C,Completed,513400.0,8,Verified,Mobile App,2023
P2P100010,2025-01-02,Mumbai,Salaried,94900.0,Education,1271000.0,1254100.0,14.18,24,C,Late,543000.0,35,Verified,Web,2025
P2P100434,2021-11-06,Hyderabad,Freelancer,69200.0,Debt Consolidation,145400.0,132300.0,8.89,12,A,Active,67400.0,3,Not Verified,Mobile App,2021
P2P100249,2025-11-16,Chennai,Self-employed,54600.0,Medical,92700.0,87300.0,10.48,36,B,Completed,107800.0,2,Not Verified,Mobile App,2025
P2P101627,2022-07-11,Jaipur,Salaried,63300.0,Debt Consolidation,344100.0,309800.0,15.3,36,C,Completed,447200.0,9,Verified,Web,2022
P2P101192,2024-06-24,Hyderabad,Self-employed,55000.0,Wedding,283900.0,259200.0,11.15,48,B,Completed,364700.0,9,Verified,Web,2024
P2P101473,2025-08-02,Ahmedabad,Salaried,79400.0,Medical,180800.0,164000.0,16.93,24,D,Completed,221500.0,4,Verified,Mobile App,2025
P2P101629,2021-10-24,Jaipur,Salaried,72300.0,Vehicle,139100.0,131100.0,14.37,36,C,Active,56400.0,3,Verified,Web,2021
P2P100334,2021-12-22,Hyderabad,Self-employed,54400.0,Small Business,103000.0,95700.0,14.21,36,C,Completed,127800.0,3,Verified,Web,2021
P2P101028,2025-06-21,Lucknow,Salaried,44400.0,Medical,326400.0,302400.0,9.3,24,A,Completed,368100.0,8,Not Verified,Web,2025
P2P100584,2023-04-12,Bengaluru,Business Owner,38100.0,Home Improvement,290700.0,280300.0,13.28,24,B,Active,110800.0,6,Verified,Web,2023
P2P100753,2024-09-02,Delhi,Self-employed,58700.0,Debt Consolidation,70800.0,65600.0,9.62,48,A,Completed,87000.0,2,Verified,Mobile App,2024
P2P101790,2024-03-18,Pune,Salaried,80500.0,Travel,104900.0,100100.0,9.73,36,A,Completed,126700.0,2,Verified,Mobile App,2024
P2P100234,2024-02-08,Mumbai,Business Owner,79600.0,Vehicle,349000.0,325300.0,11.52,24,B,Completed,409100.0,7,Not Verified,Web,2024
P2P100079,2023-06-08,Pune,Business Owner,138800.0,Travel,235000.0,222700.0,13.13,36,C,Completed,288700.0,6,Verified,Mobile App,2023
P2P101832,2024-07-24,Delhi,Salaried,125500.0,Vehicle,184200.0,180300.0,14.38,36,D,Completed,237900.0,7,Verified,Mobile App,2024
P2P101008,2025-06-27,Bengaluru,Business Owner,35500.0,Debt Consolidation,430400.0,413600.0,14.96,12,C,Completed,476500.0,15,Not Verified,Web,2025
P2P101007,2024-12-10,Hyderabad,Business Owner,34300.0,Wedding,253900.0,246900.0,13.89,48,C,Completed,332200.0,7,Not Verified,Web,2024
P2P101171,2024-08-16,Hyderabad,Salaried,31500.0,Small Business,65700.0,64900.0,10.75,24,B,Completed,76400.0,2,Not Verified,Mobile App,2024
P2P100571,2024-03-12,Pune,Salaried,30000.0,Home Improvement,69700.0,66100.0,12.61,24,B,Completed,81300.0,1,Verified,Mobile App,2024
P2P100944,2025-06-03,Bengaluru,Salaried,41400.0,Small Business,133900.0,130400.0,10.75,24,B,Completed,151000.0,4,Verified,Web,2025
P2P101027,2025-07-13,Bengaluru,Salaried,29600.0,Travel,254700.0,246200.0,7.73,36,A,Completed,286200.0,7,Verified,Web,2025
P2P101367,2025-01-12,Hyderabad,Self-employed,54900.0,Home Improvement,120600.0,109300.0,10.62,48,B,Active,90900.0,3,Verified,Mobile App,2025
P2P100209,2021-01-16,Delhi,Salaried,110500.0,Debt Consolidation,220400.0,211500.0,10.07,36,A,Completed,264700.0,6,Verified,Mobile App,2021
P2P100172,2021-02-20,Pune,Freelancer,18800.0,Debt Consolidation,149500.0,139900.0,8.03,60,A,Active,108500.0,5,Verified,Mobile App,2021
P2P101377,2023-11-19,Hyderabad,Salaried,40100.0,Small Business,264600.0,243200.0,14.99,60,C,Completed,373200.0,7,Verified,Web,2023
P2P101999,2021-06-24,Jaipur,Salaried,105800.0,Education,760100.0,724500.0,10.73,36,B,Completed,926600.0,15,Verified,Mobile App,2021
P2P100873,2024-09-27,Pune,Salaried,102100.0,Wedding,451200.0,449600.0,14.69,36,C,Completed,562300.0,13,Not Verified,Mobile App,2024
P2P100947,2022-02-11,Bengaluru,Self-employed,23200.0,Education,522200.0,517800.0,13.35,12,C,Defaulted,116000.0,18,Verified,Mobile App,2022
P2P101788,2024-08-12,Jaipur,Business Owner,43500.0,Education,585600.0,532100.0,11.02,48,B,Completed,761600.0,18,Not Verified,Mobile App,2024
P2P100262,2025-12-19,Ahmedabad,Business Owner,106600.0,Medical,251900.0,234400.0,11.92,48,B,Completed,317600.0,5,Verified,Web,2025
P2P100070,2025-12-15,Mumbai,Business Owner,50500.0,Home Improvement,121300.0,113300.0,12.18,36,C,Late,62400.0,4,Verified,Mobile App,2025
P2P100357,2021-03-23,Pune,Salaried,52300.0,Wedding,230000.0,221300.0,14.43,12,B,Completed,244000.0,5,Verified,Mobile App,2021
P2P100033,2021-07-19,Kolkata,Salaried,52200.0,Education,430100.0,414300.0,17.42,60,D,Late,320600.0,12,Verified,Mobile App,2021
P2P100203,2022-04-10,Jaipur,Salaried,88800.0,Home Improvement,90200.0,89300.0,7.92,36,A,Completed,101000.0,3,Verified,Mobile App,2022
P2P101714,2023-12-17,Hyderabad,Freelancer,100700.0,Medical,226000.0,213000.0,14.47,36,C,Completed,286900.0,7,Verified,Web,2023
P2P101075,2025-12-16,Hyderabad,Freelancer,67800.0,Medical,57500.0,56100.0,17.6,24,D,Completed,71400.0,1,Verified,Web,2025
P2P100563,2022-02-10,Mumbai,Business Owner,54700.0,Debt Consolidation,298900.0,298800.0,10.53,12,B,Active,204700.0,7,Verified,Mobile App,2022
P2P101376,2025-07-24,Bengaluru,Business Owner,18000.0,Small Business,618200.0,594900.0,15.39,36,C,Active,274800.0,19,Not Verified,Web,2025
P2P101795,2021-05-08,Chennai,Salaried,92400.0,Debt Consolidation,340800.0,310800.0,14.5,24,C,Completed,404900.0,8,Verified,Mobile App,2021
P2P100913,2024-08-27,Mumbai,Salaried,55300.0,Small Business,147300.0,137900.0,8.72,60,A,Completed,183100.0,3,Verified,Mobile App,2024
P2P100545,2024-08-18,Hyderabad,Salaried,57300.0,Debt Consolidation,175900.0,162000.0,7.95,60,A,Active,81500.0,4,Verified,Mobile App,2024
P2P100169,2021-05-05,Bengaluru,Salaried,55900.0,Small Business,209400.0,208500.0,19.98,36,D,Completed,275400.0,7,Verified,Mobile App,2021
P2P101397,2023-10-23,Mumbai,Salaried,67200.0,Vehicle,481000.0,452200.0,15.66,36,C,Completed,607300.0,10,Verified,Web,2023
P2P101458,2024-11-15,Delhi,Salaried,30700.0,Small Business,153800.0,152700.0,16.71,36,D,Defaulted,32300.0,4,Verified,Mobile App,2024
P2P100374,2024-11-25,Jaipur,Salaried,78000.0,Home Improvement,395400.0,394100.0,14.2,36,C,Late,221900.0,11,Verified,Web,2024
P2P101411,2022-07-22,Delhi,Self-employed,49200.0,Home Improvement,95400.0,88500.0,9.3,36,A,Completed,111500.0,2,Verified,Mobile App,2022
P2P101987,2025-01-27,Kolkata,Salaried,41400.0,Debt Consolidation,150200.0,144800.0,13.08,36,C,Completed,185100.0,4,Verified,Mobile App,2025
P2P100233,2024-06-16,Unknown,Salaried,40400.0,Wedding,501100.0,465800.0,13.19,36,B,Completed,613200.0,18,Verified,Web,2024
P2P101793,2024-03-09,Delhi,Freelancer,56000.0,Medical,204300.0,202700.0,13.34,36,C,Completed,244500.0,5,Verified,Web,2024
P2P100164,2024-04-14,Delhi,Salaried,79200.0,Vehicle,171700.0,154800.0,9.87,48,B,Active,115900.0,5,Verified,Web,2024
P2P101601,2022-06-20,Chennai,Salaried,65500.0,Debt Consolidation,106400.0,98700.0,16.4,36,D,Active,78700.0,3,Verified,Mobile App,2022
P2P101995,2025-02-25,Bengaluru,Salaried,133700.0,Education,47600.0,45200.0,9.76,24,A,Completed,54300.0,2,Verified,Mobile App,2025
P2P101074,2021-02-24,Bengaluru,Salaried,133600.0,Debt Consolidation,112900.0,104000.0,18.13,24,D,Completed,139900.0,3,Verified,Mobile App,2021
P2P100352,2025-07-06,Hyderabad,Self-employed,64000.0,Wedding,201200.0,188100.0,14.89,48,C,Completed,274800.0,7,Verified,Mobile App,2025
P2P100489,2025-10-31,Delhi,Business Owner,52900.0,Medical,55600.0,55000.0,9.75,48,A,Completed,70500.0,1,Verified,Mobile App,2025
P2P101288,2023-05-24,Mumbai,Salaried,59400.0,Vehicle,369700.0,369500.0,18.54,24,D,Active,333000.0,15,Verified,Mobile App,2023
P2P101019,2025-09-17,Delhi,Salaried,73200.0,Debt Consolidation,164300.0,156100.0,13.69,36,B,Active,77100.0,4,Verified,Mobile App,2025
P2P101516,2021-01-24,Ahmedabad,Business Owner,36700.0,Wedding,220300.0,215700.0,11.35,36,B,Completed,269600.0,5,Verified,Mobile App,2021
