Loan_ID,Issue_Date,Borrower_City,Employment_Type,Annual_Income_INR,Loan_Purpose,Loan_Amount_INR,Funded_Amount_INR,Interest_Rate,Loan_Term_Months,Risk_Grade,Loan_Status,Total_Repayment_INR,Investor_Count,Income_Verification,Loan_Channel
P2P101088,2022-04-23,Pune,Salaried,80000.0,Debt Consolidation,372100,363900,12.6,24,B,Late,140900,8,Verified,Web
P2P100392,2023-09-18,Delhi,Salaried,67800.0,Debt Consolidation,203600,195500,13.92,36,C,Active,113800,5,Verified,Mobile App
P2P100027,2022-07-08,Ahmedabad,Salaried,102900.0,Small Business,228200,205700,7.64,48,A,Completed,265100,6,Verified,Web
P2P101870,2025-01-25,Bengaluru,Self-employed,97100.0,Debt Consolidation,397500,367700,11.7,36,C,Completed,470200,12,Verified,Web
P2P100337,2025-07-05,Mumbai,Self-employed,46000.0,Education,306300,290500,13.62,36,C,Completed,389000,11,Not Verified,Mobile App
P2P100133,2022-01-02,Hyderabad,Self-employed,58400.0,Education,182400,171500,18.29,24,E,Late,67500,5,Not Verified,Mobile App
P2P100003,2025-02-01,Ahmedabad,Business Owner,22900.0,Wedding,377700,364700,14.17,24,C,Active,294300,10,Verified,Mobile App
P2P100881,2022-09-20,Kolkata,Salaried,76400.0,Home Improvement,191200,188600,11.66,24,B,Active,96500,4,Verified,Web
P2P100138,2024-12-26,Jaipur,Salaried,69700.0,Small Business,306600,277300,11.12,36,A,Completed,359000,8,Verified,Mobile App
P2P101673,2025-07-20,Jaipur,Self-employed,57000.0,Small Business,589100,574100,19.71,36,E,Active,246900,13,Verified,Mobile App
P2P101841,2023-07-04,Pune,Salaried,28700.0,Education,147500,143900,14.0,36,C,Active,121400,4,Verified,Web
P2P101577,2021-03-14,Pune,Self-employed,42300.0,Debt Consolidation,107000,98100,11.07,36,A,Completed,124000,2,Verified,Mobile App
P2P101159,2025-07-25,Delhi,Salaried,41900.0,Vehicle,281900,275500,11.44,36,C,Completed,341100,7,Verified,Web
P2P101014,2021-05-01,Mumbai,Self-employed,109900.0,Home Improvement,81000,80800,13.23,48,C,Completed,105700,2,Not Verified,Mobile App
P2P100781,2024-12-12,Delhi,Salaried,38700.0,Debt Consolidation,200600,190400,16.17,60,C,Completed,289300,7,Verified,Mobile App
P2P101017,2022-05-24,Mumbai,Salaried,64500.0,Small Business,162700,156000,11.67,24,B,Completed,189000,4,Verified,Mobile App
P2P100811,2025-12-13,Kolkata,Salaried,99400.0,Debt Consolidation,438800,418500,10.51,60,A,Completed,571000,13,Verified,Web
P2P101124,2025-05-09,Ahmedabad,Salaried,70100.0,Education,223300,202800,11.71,36,C,Completed,262200,8,Verified,Mobile App
P2P100318,2022-05-07,Pune,Salaried,49700.0,Home Improvement,616200,603700,11.2,24,B,Completed,679700,14,Not Verified,Web
P2P100361,2023-08-03,,Salaried,81100.0,Debt Consolidation,369200,354800,16.04,24,D,Completed,445300,10,Verified,Web
P2P100496,2023-05-29,Bengaluru,Self-employed,111600.0,Education,394300,390800,12.92,36,C,Late,150400,9,Not Verified,Mobile App
P2P100987,2024-12-04,Delhi,Self-employed,81100.0,Debt Consolidation,222900,211200,13.24,12,B,Completed,243000,8,Verified,Mobile App
P2P100087,2025-01-29,Kolkata,Salaried,80400.0,Debt Consolidation,150000,146600,19.05,36,D,Defaulted,41900,3,Verified,Mobile App
P2P100850,2024-07-14,Bengaluru,Salaried,76800.0,Home Improvement,255800,241800,12.02,48,B,Active,198500,9,Not Verified,Mobile App
P2P100577,2022-03-07,Jaipur,Salaried,48000.0,Travel,317900,291000,19.43,12,E,Active,238600,6,Not Verified,Mobile App
P2P100330,2022-10-29,Bengaluru,Business Owner,67600.0,Debt Consolidation,182400,178900,13.24,24,C,Active,109400,7,Verified,Web
P2P100464,2024-06-26,Mumbai,Salaried,66300.0,Education,163700,150800,18.59,60,D,Completed,260800,3,Verified,Mobile App
P2P101494,2021-08-13,Pune,Salaried,94100.0,Wedding,494200,449000,13.91,24,C,Late,287000,10,Verified,Mobile App
P2P101660,2023-11-23,Chennai,Self-employed,114900.0,Wedding,132100,120200,11.73,12,A,Defaulted,48200,2,Not Verified,Web
P2P100017,2023-02-25,Bengaluru,Business Owner,84600.0,Home Improvement,128700,119900,12.34,48,B,Completed,161100,3,Verified,Mobile App
P2P101408,2025-05-04,Lucknow,Salaried,37100.0,Travel,109400,101100,10.82,60,B,Active,47100,2,Not Verified,Mobile App
P2P101055,2025-12-29,Hyderabad,Salaried,63100.0,Small Business,337900,337000,12.91,36,B,Late,192600,8,Not Verified,Web
P2P101684,2025-05-25,Hyderabad,Salaried,37700.0,Debt Consolidation,170400,154600,12.13,48,C,Defaulted,31400,3,Verified,Mobile App
P2P100343,2022-05-07,Chennai,Business Owner,35400.0,Debt Consolidation,259200,253200,17.98,24,D,Completed,312700,10,Verified,Web
P2P101317,2024-03-31,Bengaluru,Salaried,30500.0,Education,428900,419800,8.91,48,B,Active,330000,11,Verified,Web
P2P101111,2025-05-16,Chennai,Freelancer,49700.0,Medical,316300,307900,11.98,24,C,Active,113100,7,Not Verified,Mobile App
P2P101066,2025-02-08,Pune,Salaried,44500.0,Debt Consolidation,524100,488000,13.66,24,C,Active,400900,14,Not Verified,Web
P2P101988,2024-02-14,Hyderabad,Freelancer,23300.0,Education,135000,128500,11.64,24,B,Active,85900,3,Verified,Mobile App
P2P100112,2022-04-09,Delhi,Salaried,63800.0,Debt Consolidation,260600,244000,8.66,24,A,Completed,288100,8,Verified,Mobile App
P2P100254,2023-03-21,Bengaluru,Salaried,29300.0,Vehicle,247500,243900,14.52,24,C,Defaulted,37100,8,Verified,Web
P2P101564,2022-12-31,Chennai,Salaried,34800.0,Home Improvement,215800,212600,10.92,48,B,Completed,273800,4,Verified,Web
P2P100520,2022-03-15,Bengaluru,Salaried,125500.0,Small Business,526600,522900,9.29,24,A,Completed,604600,17,Verified,Web
P2P100859,2024-05-28,Jaipur,Business Owner,62200.0,Debt Consolidation,154700,143600,11.1,24,B,Completed,180400,3,Verified,Mobile App
P2P100940,2024-06-15,Delhi,Business Owner,45000.0,Debt Consolidation,210800,202100,17.31,48,D,Active,101400,4,Verified,Mobile App
P2P100971,2024-10-27,Mumbai,Salaried,82600.0,Home Improvement,114800,113500,9.41,24,B,Completed,124300,3,Verified,Mobile App
P2P100420,2025-02-26,Hyderabad,Salaried,89700.0,Home Improvement,249200,241900,15.82,24,C,Defaulted,26400,5,Verified,Mobile App
P2P101736,2025-08-12,Pune,Self-employed,29200.0,Education,179500,173400,14.65,12,D,Completed,197300,6,Verified,Web
P2P100218,2025-02-19,Delhi,Salaried,64100.0,Debt Consolidation,458200,422500,11.37,24,C,Active,167100,14,Verified,Web
P2P100469,2022-09-02,Jaipur,Freelancer,54200.0,Education,172400,163100,11.61,36,B,Active,133600,4,Verified,Mobile App
P2P100432,2025-03-10,Lucknow,Salaried,40500.0,Vehicle,64800,63500,9.52,24,A,Completed,71400,2,Verified,Mobile App
P2P101284,2021-01-30,Pune,Business Owner,38000.0,Wedding,79100,76300,12.0,48,B,Active,72200,2,Verified,Web
P2P101086,2023-12-31,Bengaluru,Salaried,63400.0,Small Business,684600,635300,11.52,12,B,Active,378600,15,Verified,Mobile App
P2P101833,2024-06-24,Mumbai,Business Owner,27600.0,Vehicle,111000,108800,11.71,36,B,Active,95400,2,Verified,Mobile App
P2P101363,2024-08-25,Pune,Salaried,82200.0,Small Business,149700,139100,16.12,36,D,Active,136000,4,Verified,Mobile App
P2P100153,2022-03-02,Bengaluru,Self-employed,27900.0,Small Business,107500,99900,13.14,36,B,Completed,129600,3,Verified,Mobile App
P2P100638,2022-10-16,Pune,Self-employed,30600.0,Small Business,199100,181500,10.76,24,B,Completed,227500,7,Verified,Web
P2P101421,2023-03-19,Mumbai,Salaried,59200.0,Small Business,235200,218500,10.73,24,A,Completed,258100,5,Verified,Web
P2P100419,2024-11-09,Kolkata,Salaried,71000.0,Debt Consolidation,179900,179600,10.31,60,A,Active,105700,5,Verified,Mobile App
P2P101501,2024-03-19,Pune,Salaried,38400.0,Debt Consolidation,984700,932000,14.1,24,C,Active,808400,28,Verified,Mobile App
P2P101478,2025-03-11,Bengaluru,Self-employed,36000.0,Education,279500,255500,10.49,24,A,Completed,322800,7,Not Verified,Mobile App
P2P100832,2023-12-03,Bengaluru,Self-employed,57500.0,Small Business,262900,239000,10.21,48,B,Completed,326400,5,Verified,Mobile App
P2P101766,2023-04-05,Pune,Self-employed,83400.0,Debt Consolidation,291700,262600,19.93,48,E,Active,135200,7,Verified,Web
P2P101600,2025-08-22,Mumbai,Self-employed,33100.0,Small Business,279800,256200,11.49,36,B,Active,174300,5,Verified,Web
P2P101195,2021-05-21,Ahmedabad,Salaried,43600.0,Home Improvement,493500,475600,11.95,60,A,Completed,673900,13,Verified,Web
P2P101814,2021-03-06,Hyderabad,Salaried,51200.0,Medical,238400,220100,18.66,48,E,Completed,344500,6,Verified,Mobile App
P2P101570,2023-12-02,Bengaluru,Freelancer,129500.0,Vehicle,99000,92200,12.64,48,B,Active,90400,2,Not Verified,Mobile App
P2P100390,2025-05-05,Pune,Salaried,40100.0,Small Business,250800,236300,22.46,60,E,Active,291800,7,Verified,Web
P2P101362,2022-08-03,Hyderabad,Salaried,74100.0,Debt Consolidation,255000,238400,10.75,36,B,Completed,294000,7,Verified,Web
P2P101295,2025-04-27,Mumbai,Business Owner,27100.0,Travel,116900,112400,12.15,36,B,Completed,140600,4,Not Verified,Mobile App
P2P101400,2025-01-01,Mumbai,Business Owner,33300.0,Medical,294100,284400,10.35,24,B,Late,112200,9,Not Verified,Mobile App
P2P101786,2025-08-23,Hyderabad,Business Owner,48800.0,Debt Consolidation,89600,87500,9.13,36,A,Completed,106000,2,Verified,Web
P2P100690,2022-06-08,Bengaluru,Freelancer,84800.0,Home Improvement,392800,369900,14.68,24,C,Completed,477900,9,Verified,Mobile App
P2P100685,2025-10-05,Chennai,Business Owner,29300.0,Home Improvement,141600,131700,12.33,60,B,Active,108400,4,Verified,Web
P2P100116,2025-07-25,Chennai,Salaried,106900.0,Debt Consolidation,233700,217500,14.2,12,C,Active,93000,4,Verified,Mobile App
P2P100561,2024-12-28,Mumbai,Self-employed,131300.0,Vehicle,166800,166100,13.9,36,C,Active,101500,6,Verified,Mobile App
P2P101856,2022-11-08,Delhi,Business Owner,34500.0,Debt Consolidation,146800,138100,12.81,24,B,Active,109800,3,Not Verified,Mobile App
P2P101638,2022-03-19,Pune,Business Owner,48400.0,Debt Consolidation,63500,57700,11.67,48,B,Completed,80000,2,Not Verified,Mobile App
P2P101936,2025-05-03,Bengaluru,Self-employed,35300.0,Education,195100,183900,17.8,24,D,Completed,240700,4,Verified,Mobile App
P2P101752,2022-08-13,Chennai,Business Owner,44100.0,Wedding,107900,105500,13.9,36,C,Completed,137500,2,Verified,Mobile App
P2P100654,2025-02-18,Mumbai,Business Owner,25000.0,Debt Consolidation,435600,395700,11.78,12,B,Active,273400,10,Not Verified,Mobile App
P2P101827,2021-05-09,Lucknow,Self-employed,50700.0,Education,245100,232600,9.62,12,A,Active,189000,6,Verified,Web
P2P100320,2022-11-03,Bengaluru,Salaried,60000.0,Home Improvement,345100,319300,8.13,24,A,Active,229200,7,Verified,Web
P2P100655,2023-10-24,Mumbai,Salaried,57400.0,Small Business,103300,99000,14.41,60,D,Active,83100,3,Verified,Mobile App
P2P100979,2024-02-14,Kolkata,Salaried,38800.0,Small Business,462600,427200,10.99,48,B,Completed,574400,16,Verified,Mobile App
P2P101044,2024-08-30,Bengaluru,Self-employed,34800.0,Home Improvement,198000,186100,11.66,36,C,Active,172600,5,Not Verified,Mobile App
P2P101567,2024-11-02,Jaipur,Self-employed,32700.0,Medical,281600,263000,10.61,36,A,Completed,338300,5,Verified,Mobile App
P2P100825,2024-04-16,Mumbai,Salaried,55600.0,Home Improvement,318900,318700,13.78,36,C,Completed,398500,8,Verified,Mobile App
P2P100820,2023-04-25,Chennai,Salaried,37700.0,Home Improvement,87300,79300,20.04,24,E,Completed,105000,2,Verified,Web
P2P100007,2021-06-27,Hyderabad,Salaried,53300.0,Home Improvement,145000,144700,10.15,60,B,Completed,188700,5,Not Verified,Mobile App
P2P100208,2024-10-26,Delhi,Salaried,104400.0,Vehicle,323600,304600,11.22,36,B,Active,128200,7,Verified,Mobile App
P2P101723,2023-02-23,Bengaluru,Business Owner,18000.0,Wedding,361800,331400,14.86,60,C,Completed,513400,8,Verified,Mobile App
P2P100010,2025-01-02,Mumbai,Salaried,94900.0,Education,1271000,1254100,14.18,24,C,Late,543000,35,Verified,Web
P2P100434,2021-11-06,Hyderabad,Freelancer,69200.0,Debt Consolidation,145400,132300,8.89,12,A,Active,67400,3,Not Verified,Mobile App
P2P100249,2025-11-16,Chennai,Self-employed,54600.0,Medical,92700,87300,10.48,36,B,Completed,107800,2,Not Verified,Mobile App
P2P101627,2022-07-11,Jaipur,Salaried,63300.0,Debt Consolidation,344100,309800,15.3,36,C,Completed,447200,9,Verified,Web
P2P101192,2024-06-24,Hyderabad,Self-employed,55000.0,Wedding,283900,259200,11.15,48,B,Completed,364700,9,Verified,Web
P2P101473,2025-08-02,Ahmedabad,Salaried,79400.0,Medical,180800,164000,16.93,24,D,Completed,221500,4,Verified,Mobile App
P2P101629,2021-10-24,Jaipur,Salaried,72300.0,Vehicle,139100,131100,14.37,36,C,Active,56400,3,Verified,Web
P2P100334,2021-12-22,Hyderabad,Self-employed,,Small Business,103000,95700,14.21,36,C,Completed,127800,3,Verified,Web
P2P101028,2025-06-21,Lucknow,Salaried,44400.0,Medical,326400,302400,9.3,24,A,Completed,368100,8,Not Verified,Web
P2P100584,2023-04-12,Bengaluru,Business Owner,38100.0,Home Improvement,290700,280300,13.28,24,B,Active,110800,6,Verified,Web
P2P100753,2024-09-02,Delhi,Self-employed,58700.0,Debt Consolidation,70800,65600,9.62,48,A,Completed,87000,2,Verified,Mobile App
P2P101790,2024-03-18,Pune,Salaried,80500.0,Travel,104900,100100,9.73,36,A,Completed,126700,2,Verified,Mobile App
P2P100234,2024-02-08,Mumbai,Business Owner,79600.0,Vehicle,349000,325300,11.52,24,B,Completed,409100,7,Not Verified,Web
P2P100079,2023-06-08,Pune,Business Owner,138800.0,Travel,235000,222700,13.13,36,C,Completed,288700,6,Verified,Mobile App
P2P101832,2024-07-24,Delhi,Salaried,125500.0,Vehicle,184200,180300,14.38,36,D,Completed,237900,7,Verified,Mobile App
P2P101008,2025-06-27,Bengaluru,Business Owner,35500.0,Debt Consolidation,430400,413600,14.96,12,C,Completed,476500,15,Not Verified,Web
P2P101007,2024-12-10,Hyderabad,Business Owner,34300.0,Wedding,253900,246900,13.89,48,C,Completed,332200,7,Not Verified,Web
P2P101171,2024-08-16,Hyderabad,Salaried,31500.0,Small Business,65700,64900,10.75,24,B,Completed,76400,2,Not Verified,Mobile App
P2P100571,2024-03-12,Pune,Salaried,30000.0,Home Improvement,69700,66100,12.61,24,B,Completed,81300,1,Verified,Mobile App
P2P100944,2025-06-03,Bengaluru,Salaried,41400.0,Small Business,133900,130400,10.75,24,B,Completed,151000,4,Verified,Web
P2P101027,2025-07-13,Bengaluru,Salaried,29600.0,Travel,254700,246200,7.73,36,A,Completed,286200,7,Verified,Web
P2P101367,2025-01-12,Hyderabad,Self-employed,54900.0,Home Improvement,120600,109300,10.62,48,B,Active,90900,3,Verified,Mobile App
P2P100209,2021-01-16,Delhi,Salaried,110500.0,Debt Consolidation,220400,211500,10.07,36,A,Completed,264700,6,Verified,Mobile App
P2P100172,2021-02-20,Pune,Freelancer,18800.0,Debt Consolidation,149500,139900,8.03,60,A,Active,108500,5,Verified,Mobile App
P2P101377,2023-11-19,Hyderabad,Salaried,40100.0,Small Business,264600,243200,14.99,60,C,Completed,373200,7,Verified,Web
P2P101999,2021-06-24,Jaipur,Salaried,105800.0,Education,760100,724500,10.73,36,B,Completed,926600,15,Verified,Mobile App
P2P100873,2024-09-27,Pune,Salaried,102100.0,Wedding,451200,449600,14.69,36,C,Completed,562300,13,Not Verified,Mobile App
P2P100947,2022-02-11,Bengaluru,Self-employed,23200.0,Education,522200,517800,13.35,12,C,Defaulted,116000,18,Verified,Mobile App
P2P101788,2024-08-12,Jaipur,Business Owner,43500.0,Education,585600,532100,11.02,48,B,Completed,761600,18,Not Verified,Mobile App
P2P100262,2025-12-19,Ahmedabad,Business Owner,106600.0,Medical,251900,234400,11.92,48,B,Completed,317600,5,Verified,Web
P2P100070,2025-12-15,Mumbai,Business Owner,50500.0,Home Improvement,121300,113300,12.18,36,C,Late,62400,4,Verified,Mobile App
P2P100357,2021-03-23,Pune,Salaried,52300.0,Wedding,230000,221300,14.43,12,B,Completed,244000,5,Verified,Mobile App
P2P100033,2021-07-19,Kolkata,Salaried,52200.0,Education,430100,414300,17.42,60,D,Late,320600,12,Verified,Mobile App
P2P100203,2022-04-10,Jaipur,Salaried,88800.0,Home Improvement,90200,89300,7.92,36,A,Completed,101000,3,Verified,Mobile App
P2P101714,2023-12-17,Hyderabad,Freelancer,100700.0,Medical,226000,213000,14.47,36,C,Completed,286900,7,Verified,Web
P2P101075,2025-12-16,Hyderabad,Freelancer,67800.0,Medical,57500,56100,17.6,24,D,Completed,71400,1,Verified,Web
P2P100563,2022-02-10,Mumbai,Business Owner,54700.0,Debt Consolidation,298900,298800,10.53,12,B,Active,204700,7,Verified,Mobile App
P2P101376,2025-07-24,Bengaluru,Business Owner,18000.0,Small Business,618200,594900,15.39,36,C,Active,274800,19,Not Verified,Web
P2P101795,2021-05-08,Chennai,Salaried,92400.0,Debt Consolidation,340800,310800,14.5,24,C,Completed,404900,8,Verified,Mobile App
P2P100913,2024-08-27,Mumbai,Salaried,55300.0,Small Business,147300,137900,8.72,60,A,Completed,183100,3,Verified,Mobile App
P2P100545,2024-08-18,Hyderabad,Salaried,57300.0,Debt Consolidation,175900,162000,7.95,60,A,Active,81500,4,Verified,Mobile App
P2P100169,2021-05-05,Bengaluru,Salaried,55900.0,Small Business,209400,208500,19.98,36,D,Completed,275400,7,Verified,Mobile App
P2P101397,2023-10-23,Mumbai,Salaried,67200.0,Vehicle,481000,452200,15.66,36,C,Completed,607300,10,Verified,Web
P2P101458,2024-11-15,Delhi,Salaried,30700.0,Small Business,153800,152700,16.71,36,D,Defaulted,32300,4,Verified,Mobile App
P2P100374,2024-11-25,Jaipur,Salaried,78000.0,Home Improvement,395400,394100,14.2,36,C,Late,221900,11,Verified,Web
P2P101411,2022-07-22,Delhi,Self-employed,49200.0,Home Improvement,95400,88500,9.3,36,A,Completed,111500,2,Verified,Mobile App
P2P101987,2025-01-27,Kolkata,Salaried,41400.0,Debt Consolidation,150200,144800,13.08,36,C,Completed,185100,4,Verified,Mobile App
P2P100233,2024-06-16,,Salaried,40400.0,Wedding,501100,465800,13.19,36,B,Completed,613200,18,Verified,Web
P2P101793,2024-03-09,Delhi,Freelancer,56000.0,Medical,204300,202700,13.34,36,C,Completed,244500,5,Verified,Web
P2P100164,2024-04-14,Delhi,Salaried,79200.0,Vehicle,171700,154800,9.87,48,B,Active,115900,5,Verified,Web
P2P101601,2022-06-20,Chennai,Salaried,65500.0,Debt Consolidation,106400,98700,16.4,36,D,Active,78700,3,Verified,Mobile App
P2P101995,2025-02-25,Bengaluru,Salaried,133700.0,Education,47600,45200,9.76,24,A,Completed,54300,2,Verified,Mobile App
P2P101074,2021-02-24,Bengaluru,Salaried,133600.0,Debt Consolidation,112900,104000,18.13,24,D,Completed,139900,3,Verified,Mobile App
P2P100352,2025-07-06,Hyderabad,Self-employed,64000.0,Wedding,201200,188100,14.89,48,C,Completed,274800,7,Verified,Mobile App
P2P100489,2025-10-31,Delhi,Business Owner,52900.0,Medical,55600,55000,9.75,48,A,Completed,70500,1,Verified,Mobile App
P2P101288,2023-05-24,Mumbai,Salaried,59400.0,Vehicle,369700,369500,18.54,24,D,Active,333000,15,Verified,Mobile App
P2P101019,2025-09-17,Delhi,Salaried,73200.0,Debt Consolidation,164300,156100,13.69,36,B,Active,77100,4,Verified,Mobile App
P2P101516,2021-01-24,Ahmedabad,Business Owner,36700.0,Wedding,220300,215700,11.35,36,B,Completed,269600,5,Verified,Mobile App
P2P100064,2023-06-04,Pune,Salaried,122900.0,Education,276500,251300,19.0,36,D,Completed,367400,5,Verified,Web
P2P100157,2024-11-09,Kolkata,Salaried,40200.0,Debt Consolidation,125400,114200,11.68,24,A,Completed,143700,2,Not Verified,Mobile App
P2P100797,2025-10-08,Lucknow,Salaried,37100.0,Debt Consolidation,235900,234500,14.9,36,D,Completed,303700,5,Verified,Web
P2P101918,2024-07-11,Bengaluru,Self-employed,30200.0,Home Improvement,308700,289200,18.16,24,D,Active,243900,6,Verified,Web
P2P100765,2021-04-13,Kolkata,Salaried,46300.0,Debt Consolidation,122800,115900,9.32,24,A,Completed,141500,3,Verified,Web
P2P100615,2025-07-27,Bengaluru,Salaried,33700.0,Home Improvement,692000,649900,12.8,24,B,Completed,819000,23,Verified,Mobile App
P2P101247,2022-01-29,Chennai,Business Owner,76700.0,Education,146300,141400,8.22,36,A,Completed,173400,4,Verified,Web
P2P101100,2023-05-23,Jaipur,Salaried,71200.0,Home Improvement,170400,170400,7.65,36,A,Completed,189600,4,Verified,Web
P2P101928,2024-01-21,Ahmedabad,Self-employed,76600.0,Small Business,129200,127900,11.66,36,B,Completed,160400,3,Verified,Mobile App
P2P101574,2025-07-14,Kolkata,Self-employed,46900.0,Travel,217000,215600,11.25,48,B,Active,153000,5,Verified,Mobile App
P2P101319,2021-09-07,Hyderabad,Salaried,38300.0,Vehicle,278400,261900,13.66,60,B,Completed,397500,6,Verified,Web
P2P100045,2022-11-23,Chennai,Salaried,45300.0,Vehicle,172300,155200,13.01,24,C,Active,90700,3,Verified,Web
P2P101446,2022-05-16,Chennai,Salaried,62800.0,Medical,103700,99300,9.34,48,B,Active,66800,3,Verified,Web
P2P100854,2025-08-27,Kolkata,,21700.0,Wedding,162800,150400,14.39,36,B,Completed,202600,3,Verified,Mobile App
P2P100260,2021-10-25,Mumbai,Salaried,100800.0,Home Improvement,348900,315000,12.88,24,B,Active,144500,11,Verified,Web
P2P101429,2024-09-19,Chennai,Self-employed,110100.0,Vehicle,95900,93300,12.24,48,B,Active,89800,3,Verified,Web
P2P100857,2021-04-22,Pune,Salaried,37400.0,Debt Consolidation,545800,544500,11.27,60,A,Completed,746800,20,Verified,Web
P2P100821,2025-04-30,Hyderabad,Salaried,44400.0,Wedding,342600,338800,14.67,24,C,Completed,400800,8,Not Verified,Mobile App
P2P100523,2025-11-24,Kolkata,Business Owner,77100.0,Debt Consolidation,390700,387900,10.32,24,B,Completed,439200,12,Verified,Mobile App
P2P101399,2024-08-17,Chennai,Salaried,82200.0,Debt Consolidation,187500,171100,11.74,24,B,Completed,219800,4,Verified,Web
P2P101630,2023-11-29,Kolkata,Salaried,100800.0,Medical,126900,118500,10.58,48,B,Completed,159600,2,Verified,Web
P2P100624,2024-01-26,Pune,Self-employed,,Wedding,334100,332200,12.9,48,C,Active,143600,8,Verified,Web
P2P100317,2023-09-11,Chennai,Self-employed,28800.0,Debt Consolidation,345300,322600,11.07,48,B,Completed,444100,8,Verified,Web
P2P101970,2021-03-22,Jaipur,Business Owner,88500.0,Home Improvement,170700,168200,15.46,24,C,Active,94300,6,Verified,Web
P2P101346,2023-10-13,Mumbai,Salaried,138000.0,Small Business,215900,211500,13.82,36,C,Active,148900,5,Verified,Mobile App
